participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
27,"[1.0898477652592233, 0.5863410807868186, 0.5578016680483265]",[4.11008141e+00 5.93048529e-04 7.37342850e-01],[-0.21749654 -0.24451951 -0.23491346 -0.24333021],[0.53113704 0.12443516 0.21837827 0.12604952],230.29116301126433,466.58232602252866,478.5567196638526
28,"[2.3031801708592248, 0.2650373417482538, 0.12192623519349448]",[4.59028586e+00 1.00000000e-04 9.57194925e-01],[0.62697416 0.62584112 0.62666527 0.62604709],[0.46017496 0.20629704 0.25415087 0.07937713],256.98389332955986,519.9677866591197,531.9421803004436
29,"[2.802119718405471, 0.8995016740299557, 0.05739159130936566]",[1.17721255 0.03093462 0.9999    ],[0.7310981  0.4308528  0.7409076  0.42812607],[0.32573984 0.35561017 0.18561683 0.13303316],259.05898928106234,524.1179785621247,536.0923722034486
30,"[1.4583600634627185, 0.5817672298782324, 0.024111740781158783]",[1.30661604 0.2633477  0.9999    ],[1.03940792 0.18439919 0.66574257 0.34994774],[3.36967239e-01 5.23679160e-01 1.39353601e-01 3.03751042e-14],220.12497442112652,446.24994884225305,458.224342483577
31,"[3.84794277102801, 0.10531891314770407, 0.9211497240738716]",[4.99990000e+00 1.00000000e-04 9.86897211e-01],[0.36233136 0.36233234 0.36396563 0.36233136],[0.01326164 0.50673479 0.46674193 0.01326164],139.707082819623,285.414165639246,297.38855928056995
32,"[3.4497303852722165, 0.7646309458301532, 0.553750956757752]",[1.70740961 0.02168141 0.00206315],[0.91382152 0.86139097 0.97373284 0.97468302],[0.63672597 0.15909806 0.19665492 0.00752106],250.21742926803654,506.4348585360731,518.409252177397
33,"[2.2465249641051623, 0.8434946513557967, 0.18042404418646665]",[2.33166112e+00 5.84229409e-04 8.82801276e-01],[-0.24090375 -0.23335179 -0.2360996  -0.25274323],[0.20170652 0.44264441 0.29760069 0.05804839],265.77794819030237,537.5558963806047,549.5302900219286
34,"[2.944132928951617, 0.2854822581152323, 0.53527163162696]",[4.99990000e+00 2.23903424e-04 9.89596521e-01],[0.95539458 0.95691115 0.95704333 0.95847225],[0.55110971 0.04928945 0.24981557 0.14978527],201.647427247329,409.294854494658,421.26924813598197
35,"[2.2349924841678113, 0.23531517384764347, 0.9323954139163251]",[1.77261047e+00 1.00000000e-04 9.99900000e-01],[0.28471757 0.28362974 0.2852609  0.28344417],[0.28580752 0.32140863 0.36907887 0.02370498],240.246391108819,486.492782217638,498.467175858962
36,"[2.204799452624017, 0.2583907674104141, 0.47709123061632863]",[1.33285666 0.01835018 0.9999    ],[0.30196479 0.32242348 0.29615197 0.14073624],[0.24953441 0.43081945 0.24259815 0.077048  ],263.1499332820934,532.2998665641868,544.2742602055107
37,"[0.2711162693810774, 0.5383631492915687, 0.4785325635479265]",[1.57216819 0.02102574 0.38231269],[0.47012914 0.17842425 0.35774621 0.06761998],[0.38898228 0.29712282 0.24448394 0.06941096],248.58278119587976,503.1655623917595,515.1399560330834
38,"[0.8683178390425611, 0.3068671420484323, 0.38674349358447074]",[5.40830222e-01 1.56880757e-01 1.62830111e-04],[0.7255833  0.21215326 0.93714374 0.24628795],[7.70019962e-01 2.49381407e-02 2.04979695e-01 6.22023568e-05],270.0411172051122,546.0822344102244,558.0566280515483
39,"[1.7668752521730275, 0.131889434721612, 0.3631670760580278]",[0.51204257 0.00588557 0.98778896],[1.15178268 1.05420678 1.16878511 1.15529383],[0.24737875 0.43893581 0.22243739 0.09124804],276.1218474242221,558.2436948484442,570.2180884897681
40,"[0.9484032970573287, 0.4083954789416974, 0.44734671379190505]",[1.17563673 0.07114433 0.9999    ],[0.5124392  0.45361554 0.77421132 0.543469  ],[0.53745827 0.27945293 0.18211129 0.00097752],257.32372434916397,520.6474486983279,532.6218423396518
41,"[3.880355357356142, 0.0014325040257602661, 0.3361819370556556]",[4.99990000e+00 5.27805341e-04 1.00000000e-04],[0.72818582 0.72482922 0.73356444 0.72703399],[0.50231313 0.0976031  0.30141501 0.09866876],221.7843985294286,449.5687970588572,461.5431907001812
42,"[0.4085961634659095, 0.7626492778750601, 0.976163222798078]",[1.09955673 0.19174049 0.9999    ],[0.97424933 0.29443932 0.56597297 0.09885509],[0.80018202 0.1340917  0.0637086  0.00201769],227.30642083502926,460.6128416700585,472.58723531138247
43,"[3.921911863735124, 0.2650743188218183, 0.9765220909470717]",[2.42505386e+00 1.00000000e-04 9.70392225e-01],[0.2947032  0.29166401 0.29354606 0.29170714],[0.62624521 0.02019562 0.34351741 0.01004176],188.93779417903716,383.8755883580743,395.84998199939827
44,"[0.6595746351749687, 0.31988196772388006, 0.04672854585957966]",[8.20328834e-01 4.93179287e-01 1.00000000e-04],[0.62072141 0.28846745 0.89138239 0.3123982 ],[1.45462423e-01 9.13133503e-14 8.54537419e-01 1.57402768e-07],252.6179882373502,511.2359764747004,523.2103701160244
45,"[2.1998553702561776, 0.12132013850034218, 0.20780498519656632]",[2.72310613e+00 8.78129962e-04 8.42558094e-01],[0.29849157 0.28478714 0.29474221 0.28478027],[0.40136225 0.2338423  0.25792568 0.10686976],268.98291924266255,543.9658384853251,555.940232126649
