participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
17,"[1.680766499392343, 0.42539265929829273, 0.7039765112933514, 0.8571965588177244]",[3.71227424e+00 1.00000000e-04 1.54710129e-01 1.00000000e-04],[0.00270965 0.00143925 0.00212451 0.00167403],[0.34359638 0.17887063 0.2462594  0.23127359],163.82784741168237,335.65569482336474,349.7415384948137
18,"[2.1241521446767497, 0.3626433853960363, 0.9104519941233926, 1.8609547546840413]",[9.75857258e-01 1.95684523e-01 1.00000000e-04 3.99990000e+00],[0.43403688 0.3867478  0.68700643 0.3383619 ],[0.43396373 0.01392088 0.4611498  0.09096558],164.45324426467485,336.9064885293497,350.99233220079867
19,"[4.165276996356256, 0.5462303691632538, 0.476892720885624, 2.8791342059714697]",[4.99990000e+00 2.52885359e-04 6.71748378e-01 1.00000000e-04],[0.00658305 0.00031945 0.00941203 0.00014343],[0.436195   0.0495901  0.49307446 0.02114044],47.33482915380812,102.66965830761625,116.75550197906523
20,"[3.0730555006566775, 0.9642205566571415, 0.29061493622907836, 2.3114779101842395]",[1.01261559e+00 7.27587320e-02 1.00000000e-04 3.99990000e+00],[0.54863203 0.33297236 0.50997556 0.31137682],[0.45242143 0.02033104 0.40843547 0.11881206],169.24290086818039,346.48580173636077,360.57164540780974
21,"[1.1796242046821737, 0.5276429589985158, 0.7567901936835602, 3.1253467623714575]",[1.51420097 0.08428828 0.97278255 3.9999    ],[0.59060607 0.         0.         0.35573722],[8.19641224e-01 2.06490130e-07 2.06490130e-07 1.80358363e-01],98.24233300523164,204.4846660104633,218.57050968191226
22,"[3.6708595040503367, 0.14850282791993555, 0.22852354359152002, 1.5147563362397463]",[1.26207855 0.11642135 0.95169247 3.42125387],[0.54076626 0.38081463 0.56562534 0.3567817 ],[0.61194255 0.01485344 0.186007   0.18719701],147.661249668783,303.322499337566,317.40834300901497
23,"[1.2724108084250916, 0.030498843621983424, 0.64527559194988, 0.6113767141491596]",[2.19805218e+00 1.13079922e-01 1.00000000e-04 2.26413418e+00],[0.49996162 0.08011399 0.59899332 0.11127117],[4.74669008e-01 7.91489337e-09 4.88201185e-01 3.71297986e-02],53.626357259625166,115.25271451925033,129.3385581906993
24,"[1.420007280188456, 0.39186275172279295, 0.30327222475648813, 2.7053922326523603]",[1.9778203  0.17075669 0.9999     2.37347672],[0.5837005  0.30585758 0.54190477 0.12502477],[6.73284871e-01 3.84651794e-04 3.23536405e-01 2.79407272e-03],64.27650468506911,136.55300937013823,150.6388530415872
25,"[3.596879191571715, 0.44365311709156585, 0.7407546915280365, 0.559044586277777]",[1.08204556 0.57077139 0.9999     0.46270618],[0.43732476 0.6269965  0.47938003 0.29104523],[9.19012587e-01 5.74054050e-03 7.50520306e-02 1.94842257e-04],135.55389247459416,279.10778494918833,293.1936286206373
26,"[2.028968324797395, 0.6157392034831023, 0.1984845351495588, 2.5729509952602365]",[1.26357095e+00 8.24969507e-02 1.00000000e-04 3.99990000e+00],[0.48749833 0.28311636 0.46140198 0.25637704],[0.49942785 0.0577638  0.30106227 0.14174607],163.3189616095644,334.6379232191288,348.7237668905778
27,"[3.993650124408825, 0.005642910000130215, 0.5997626650478761, 3.6169548611592117]",[1.88007867e+00 4.68822826e-02 1.00000000e-04 3.99990000e+00],[0.49691615 0.31026095 0.50395228 0.11219325],[0.53602104 0.11490004 0.34575109 0.00332783],128.77679913391626,265.5535982678325,279.6394419392815
28,"[0.8215317730551767, 0.29692298974121684, 0.97131439594536, 0.2778776844939201]",[1.63906979 0.28125731 0.08153557 3.9999    ],[0.45946839 0.3317918  0.60593442 0.43120018],[6.51584213e-01 6.68453055e-05 1.64121993e-01 1.84226949e-01],114.68223432642992,237.36446865285984,251.4503123243088
29,"[3.9851109901488604, 0.37470694533365384, 0.10638164975565845, 1.8478769627863272]",[0.27410522 0.9999     0.9999     3.9999    ],[0.74973686 0.36797286 0.7365785  0.37397951],[1.0000000e+00 9.9990001e-13 1.0000000e-24 9.9990000e-25],170.49624955751477,348.99249911502955,363.0783427864785
30,"[3.739403877377127, 0.44966215083884625, 0.11225059212002882, 3.389973270427561]",[0.0001     0.0001     0.00010018 0.0001    ],[0.00229588 0.00213227 0.00138551 0.00067502],[0.3148316  0.37818964 0.18116313 0.12581563],172.59364805144656,353.18729610289313,367.2731397743421
31,"[0.36948097663527435, 0.33845691979179804, 0.2998226373762427, 3.8805889977052717]",[2.01168924e+00 9.03535685e-02 1.00000000e-04 3.99990000e+00],[0.45426477 0.21288537 0.45521461 0.06985341],[0.55582263 0.00599259 0.41052642 0.02765836],86.05894890429289,180.11789780858578,194.20374148003475
32,"[3.3022202499540807, 0.7111446584709126, 0.39836474124691607, 3.543336294656739]",[3.14712374e+00 2.12013680e-02 1.00000000e-04 3.53120449e+00],[0.46590608 0.00435902 0.38912648 0.03511444],[0.64470523 0.00322463 0.34661011 0.00546003],36.50980328428002,81.01960656856004,95.10545024000902
33,"[0.3338944456821548, 0.466449497038626, 0.2184818087244723, 0.018358777904862126]",[3.08777924e-01 6.96931969e-01 9.99900000e-01 1.00000000e-04],[0.24315674 0.37844638 0.6263237  0.61672773],[1.98920678e-19 2.49234315e-02 6.38448484e-19 9.75076568e-01],170.44645327594137,348.89290655188273,362.9787502233317
34,"[2.5979744322374714, 0.09167256171995478, 0.595079971659097, 0.9478798155240246]",[1.64465365e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.         0.00410584 0.00300008 0.        ],[0.00735418 0.62967643 0.35561521 0.00735418],87.82100283904356,183.64200567808712,197.7278493495361
35,"[4.3912095892108365, 0.9600433917764077, 0.6963876915115795, 2.583823445134875]",[5.70497943e-01 9.84665956e-02 1.00000000e-04 3.99990000e+00],[0.52379962 0.35235573 0.48331422 0.34676597],[0.2667024  0.1494184  0.32581174 0.25806746],171.91588907322563,351.83177814645126,365.9176218179002
36,"[1.6040377820790264, 0.8211320365298603, 0.9883821218664115, 0.3036030105507865]",[8.38504062e-01 2.63285994e-01 1.00000000e-04 2.55642889e+00],[0.65620667 0.31176791 0.64856978 0.3253022 ],[0.33156904 0.0189988  0.56405415 0.08537801],165.1277273142713,338.2554546285426,352.3412982999916
37,"[0.042881304598885166, 0.6211128294550794, 0.6336694810480379, 1.6495142174332122]",[1.71473438 0.04823116 0.9999     1.4039837 ],[0.37998239 0.47858917 0.15929419 0.47407202],[0.02216306 0.59189868 0.00457247 0.38136578],115.5050284526073,239.0100569052146,253.0959005766636
38,"[0.15974136211909312, 0.8984172718571017, 0.46524631043312753, 3.654965641576828]",[1.91793685 0.13844221 0.99982788 3.57742221],[0.5547206  0.43142755 0.66674362 0.15046052],[2.51378787e-01 2.13023443e-02 7.27318868e-01 2.15152223e-10],68.7314406344735,145.462881268947,159.54872494039597
39,"[4.0036033921857195, 0.20363429473450972, 0.4035062341398927, 2.851872879041128]",[1.35736836 0.1686022  0.01415728 0.03750312],[0.5705503  0.43810272 0.53090159 0.30521699],[7.75274503e-01 2.36790689e-02 2.01031080e-01 1.53482561e-05],145.7988005357524,299.5976010715048,313.6834447429538
40,"[1.2921265177235601, 0.6676038898981589, 0.7796536368454446, 1.554916972434154]",[4.9999000e+00 4.2834692e-02 9.9990000e-01 1.0000000e-04],[0.62130843 0.         0.         0.49364509],[5.39512890e-01 8.73401591e-05 8.73401591e-05 4.60312430e-01],19.40812198824799,46.81624397649598,60.90208764794497
41,"[4.437192349161215, 0.01499671308648729, 0.8376919056902932, 2.2080215841259427]",[2.46925512e+00 1.00000000e-04 5.22615917e-01 1.00000000e-04],[0.004001   0.0012905  0.00209794 0.0007233 ],[0.47458256 0.19209408 0.22986126 0.1034621 ],137.08050552765425,282.1610110553085,296.2468547267575
42,"[2.8788898041423496, 0.5537922123339085, 0.08016018595937309, 0.828942836850115]",[1.66478299e+00 7.02847511e-02 2.65539310e-03 1.00000000e-04],[0.42067175 0.33523787 0.51482849 0.22066055],[0.25047574 0.11113535 0.58960576 0.04878315],150.16235930953928,308.32471861907857,322.41056229052754
43,"[1.805837944569424, 0.13821838003889445, 0.8350379883274927, 2.0456742738661924]",[1.30281323e+00 1.38286041e-01 1.00000000e-04 3.99990000e+00],[0.50869116 0.38619382 0.45722074 0.29751671],[4.16079001e-01 1.72326509e-04 5.83118726e-01 6.29945546e-04],148.03399869182843,304.06799738365686,318.15384105510583
44,"[2.493228695348994, 0.6427834822953381, 0.7013107151293563, 3.475640030937914]",[9.75066197e-01 7.00900598e-02 1.00000000e-04 3.99990000e+00],[0.5381685  0.31098968 0.58160251 0.27380871],[0.48245214 0.0061346  0.37374338 0.13766987],166.6617573777997,341.3235147555994,355.40935842704835
45,"[4.032428320193512, 0.6090501631940488, 0.5284602350895756, 1.1486071700603515]",[1.61075553e+00 4.25061906e-02 1.00000000e-04 7.90610347e-01],[0.49551962 0.21962109 0.43678324 0.07102107],[0.59294692 0.11766013 0.25404088 0.03535208],138.64371293366455,285.2874258673291,299.37326953877806
46,"[0.18095593037735322, 0.1470915080764298, 0.8124583144016949, 1.7097377030558232]",[1.61601671e+00 9.77681573e-02 1.00000000e-04 3.99990000e+00],[0.55018248 0.27894705 0.52452233 0.22375246],[0.63406738 0.00309573 0.32542466 0.03741223],127.54036672734146,263.0807334546829,277.1665771261319
47,"[0.1997399941159683, 0.31862412990223027, 0.04269728518255506, 0.22357659476115804]",[9.31277919e-01 2.91828619e-01 1.07171408e-04 3.99990000e+00],[0.5343922  0.43379112 0.6014826  0.39715614],[6.28830213e-01 1.76608348e-02 3.53483410e-01 2.55421594e-05],165.07798507629784,338.15597015259567,352.24181382404464
48,"[3.9556371742330074, 0.45543422180173826, 0.6744614755820807, 1.4921985752042193]",[4.11552500e+00 5.59823731e-04 3.83902163e-01 9.36930703e-02],[0.02465541 0.00612129 0.01128056 0.00388923],[0.52267201 0.15833284 0.23356941 0.08542573],109.37414356629962,226.74828713259924,240.83413080404824
