participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_weight,best_obj_weight,best_nll,AIC,BIC
16,"[3.8337960585165716, 0.2163053741373047, 0.3866100043722424]",[2.78436478e+00 1.00000000e-04 8.21447985e-01],[-0.33087318 -0.33080772 -0.32923926 -0.33240234],[0.20807699 0.2952494  0.32209793 0.17457568],[],[],169.26943554245486,344.5388710849097,355.10325383849647
17,"[1.609362476736615, 0.3230803749750695, 0.7845923509824114]",[1.12436941 0.1445857  0.9999    ],[0.50421832 0.27692477 0.60180148 0.3032414 ],[0.34189991 0.01907422 0.20234542 0.43668046],[],[],160.59442386945304,327.1888477389061,337.75323049249283
18,"[0.4660071821873711, 0.9910032003450766, 0.8486859693177194]",[6.95994281e-01 2.52812086e-01 1.00000000e-04],[0.47997152 0.36254257 1.03461047 0.31943963],[0.56035222 0.00501564 0.36427707 0.07035507],[],[],165.98306083814487,337.96612167628973,348.5305044298765
19,"[1.2994542261418651, 0.7208244157456135, 0.5816176834150218]",[4.07529303 0.01427685 0.94414679],[0.8640163  1.19247789 0.98305405 1.23366438],[0.11417059 0.01698167 0.85186607 0.01698167],[],[],67.92216048209292,141.84432096418584,152.40870371777257
20,"[2.473895138247771, 0.289961623801664, 0.05865422339468088]",[9.21622251e-01 1.15773747e-04 9.99900000e-01],[0.66193772 0.66139316 0.66230969 0.66061846],[0.3941222  0.10581527 0.36393714 0.13612538],[],[],169.31613035795425,344.6322607159085,355.19664346949526
21,"[2.7791173792380293, 0.4016079566229847, 0.22941977856975723]",[1.57331866e+00 1.00000000e-04 9.84711762e-01],[-0.15124031 -0.15973252 -0.15973252 -0.15791371],[0.71745312 0.00719348 0.00719348 0.26815992],[],[],99.77968730624879,205.55937461249758,216.1237573660843
22,"[1.308884794165746, 0.4245262995991648, 0.021744370262209756]",[1.01807539 0.15048351 0.87883228],[0.59874994 0.3345357  0.92646331 0.13315725],[0.59657468 0.00660178 0.20370638 0.19311716],[],[],153.15432359285327,312.30864718570655,322.8730299392933
23,"[0.3250280301014938, 0.6409833333068566, 0.8537177092953306]",[4.99990000e+00 4.13915613e-03 9.91086246e-01],[1.19204737 1.33978349 1.21802605 1.3426076 ],[0.2429522  0.05258998 0.65186784 0.05258998],[],[],47.689425695029875,101.37885139005975,111.94323414364649
24,"[0.2544614119822081, 0.9470752675221992, 0.022933210460234693]",[1.93835983 0.19846284 0.9999    ],[0.87440936 0.38572719 0.75800661 0.17313333],[5.94732844e-01 1.73161499e-04 4.05093994e-01 4.02764405e-13],[],[],70.44177433580626,146.88354867161252,157.44793142519924
25,"[0.8300426915362806, 0.12188339863987538, 0.20390807537505093]",[1.20148459 0.34678291 0.98932698],[0.54343816 0.71973945 0.52880722 0.1816451 ],[0.73720632 0.05538881 0.19742004 0.00998483],[],[],135.71323422302143,277.42646844604286,287.9908511996296
26,"[0.9856297715325983, 0.015192740185001646, 0.956969282074066]",[0.9622719  0.01543585 0.9342964 ],[1.01659531 1.01173116 1.01942223 1.00570177],[0.66758418 0.0108056  0.21524574 0.10636447],[],[],161.52435666344974,329.0487133268995,339.61309608048623
27,"[4.964644601030908, 0.656518281980836, 0.4163891816201617]",[1.48435593e+00 1.55131456e-01 1.00000000e-04],[0.58785725 0.29710657 0.70021527 0.34285492],[5.99586435e-01 1.06797999e-01 2.93615387e-01 1.78791169e-07],[],[],128.20039892410946,262.40079784821893,272.9651806018057
28,"[0.8305415355652259, 0.22617911957346093, 0.7791375419794279]",[1.5698361  0.33277694 0.00364105],[0.38325762 0.0762954  0.71299634 0.36466527],[7.03926691e-01 1.06964440e-05 1.19775406e-01 1.76287207e-01],[],[],116.9461553997739,239.8923107995478,250.45669355313453
29,"[4.496078857911116, 0.6073337307699197, 0.7026201923793953]",[3.05718888e-01 9.99900000e-01 1.00000000e-04],[0.97896964 0.08247884 0.94807005 0.09658418],[1.0000000e+00 9.9990001e-13 1.0000000e-24 9.9990000e-25],[],[],170.01643227914593,346.03286455829186,356.5972473118786
30,"[1.9729269797650961, 0.8301332571747202, 0.9544939494245336]",[0.0001 0.0001 0.0001],[1.30397963 1.300793   1.30506586 1.30326514],[0.6008606  0.09963244 0.19987452 0.09963244],[],[],172.59365002234924,351.1873000446985,361.75168279828523
31,"[2.8124429411384604, 0.1751049027414655, 0.9403432975480421]",[1.74018664e+00 1.00000000e-04 9.99097290e-01],[0.65620385 0.65609016 0.65697417 0.65631685],[0.51871717 0.06173831 0.39487008 0.02467445],[],[],103.88255222579127,213.76510445158254,224.32948720516927
32,"[2.3468619962583643, 0.6669039616363914, 0.8764500946747456]",[4.9999     0.00505344 0.98708643],[0.63928046 0.65806995 0.69048682 0.66417187],[0.55752175 0.00965453 0.41243085 0.02039286],[],[],33.94324444581515,73.8864888916303,84.45087164521703
33,"[0.19471545913409313, 0.4293761963800407, 0.7323727966875524]",[0.2244404  0.62722709 0.02553208],[-0.03537082  0.23112006  0.78494948  0.74169443],[3.24786356e-16 5.89266785e-02 8.27692792e-16 9.41073322e-01],[],[],171.72499212436588,349.44998424873177,360.0143670023185
34,"[1.585702806088004, 0.44257245380377963, 0.02426502905581593]",[1.52335713 0.80895051 0.9999    ],[0.69132514 0.73959036 1.06013396 0.69132514],[8.39382029e-33 8.39382031e-01 1.60617969e-01 8.39382029e-33],[],[],104.07668635369133,214.15337270738266,224.71775546096939
35,"[4.469949156649772, 0.0824494735938389, 0.7341802900726708]",[3.53632663e-01 2.16765428e-04 9.99900000e-01],[1.1000067  1.09881981 1.09997498 1.09693696],[0.5005114  0.05470541 0.27826801 0.16651518],[],[],172.18242554135267,350.36485108270534,360.9292338362921
36,"[4.487466429997866, 0.2893030695479178, 0.09010821432606582]",[4.9999000e+00 2.4815459e-04 1.0000000e-04],[0.67567611 0.67197333 0.67696142 0.67293755],[0.26569488 0.17178708 0.46918417 0.09333387],[],[],162.94832993448142,331.89665986896284,342.4610426225496
37,"[3.821776776214098, 0.5072254337670337, 0.5571083137674147]",[1.61265241 0.09917289 0.9999    ],[0.36471246 0.17597214 0.08830814 0.35671035],[9.76200602e-04 6.26647525e-01 1.59022278e-04 3.72217252e-01],[],[],113.89945054339746,233.79890108679493,244.36328384038165
38,"[1.6092106961354355, 0.9694812156027557, 0.9266602290133511]",[1.97688734 0.12986128 0.89870596],[0.68995989 0.4349306  0.94121678 0.18264341],[2.73450590e-01 3.14146581e-02 6.95134751e-01 1.02263004e-09],[],[],68.21854818177397,142.43709636354794,153.00147911713466
39,"[1.4431014713264578, 0.4790228991287099, 0.22231404417260633]",[2.29858284e+00 2.03222065e-02 4.68184148e-04],[0.7828944  0.7044407  0.9232449  0.78520365],[0.6692984  0.13949965 0.18830669 0.00289526],[],[],120.96452420876561,247.92904841753122,258.49343117111795
40,"[3.208243380177624, 0.8739679951455749, 0.8211877893031959]",[4.9999     0.06243996 0.9999    ],[0.65793769 0.75398442 0.75398442 0.41998554],[5.27551406e-01 9.04262251e-06 9.04262251e-06 4.72430509e-01],[],[],29.807325063708532,65.61465012741706,76.1790328810038
41,"[2.0783292490746383, 0.24919665887721598, 0.2210901309352045]",[1.20205395 0.07478189 0.9999    ],[0.69959316 0.27261469 0.64627916 0.27058918],[0.74827199 0.00077123 0.24904915 0.00190762],[],[],143.53310936993537,293.06621873987075,303.6306014934575
42,"[3.836414709808546, 0.6191003037349906, 0.9787033984501987]",[1.26226403e+00 6.03048254e-02 1.00000000e-04],[0.4911138  0.30270618 0.70746479 0.16017495],[0.26645795 0.08790785 0.5955714  0.0500628 ],[],[],151.44829871472487,308.89659742944974,319.4609801830365
43,"[1.1722161398816362, 0.5090699326896767, 0.03165824095571608]",[1.05078483e+00 1.98724522e-01 1.00000000e-04],[0.79526945 0.30759324 0.52267656 0.07345203],[3.99935023e-01 7.58433665e-06 6.00023275e-01 3.41171924e-05],[],[],150.08797467456685,306.1759493491337,316.74033210272046
44,"[4.9547150796361885, 0.04913831139142249, 0.8914708272540152]",[0.59336666 0.06624488 0.00331015],[ 0.5790347   0.05395891  0.74004321 -0.10046015],[0.53686415 0.00667759 0.34080209 0.11565617],[],[],166.2297390090062,338.4594780180124,349.0238607715992
45,"[4.813718879708344, 0.41107915807454015, 0.5919251600358298]",[4.09758179 0.00614535 0.74368806],[0.75857741 0.76497679 0.81406145 0.81702541],[0.56470289 0.05290456 0.37097243 0.01142013],[],[],118.60370591813358,243.20741183626717,253.7717945898539
46,"[0.8622043463667535, 0.50760454237344, 0.988669992566512]",[2.67412491e+00 8.21764082e-03 1.00000000e-04],[0.59672769 0.45896219 0.61482801 0.47360522],[0.46800795 0.06712765 0.44407633 0.02078807],[],[],125.07410707804596,256.1482141560919,266.71259690967867
47,"[1.1124510375470857, 0.669714270271953, 0.813893067120754]",[9.38899431e-01 1.31810088e-01 1.00000000e-04],[0.61164699 0.32417734 0.75046265 0.28368187],[0.49938837 0.08191964 0.41251194 0.00618005],[],[],163.24770589544957,332.49541179089914,343.0597945444859
48,"[3.0599780562805265, 0.9360511634313431, 0.6459295911673345]",[4.99990000e+00 3.53163098e-04 9.75612288e-01],[0.43951246 0.43217053 0.43620513 0.43236029],[0.55256094 0.09323749 0.27167528 0.08252628],[],[],112.38019717123512,230.76039434247025,241.32477709605698
49,"[1.6106538622891453, 0.3864530804888027, 0.48492832884576326]",[1.56315779 0.30682694 0.9999    ],[ 0.69372575 -0.18887563  0.59640208  0.2838423 ],[1.34944447e-01 6.26630689e-11 3.76065305e-01 4.88990249e-01],[],[],107.68895257992354,221.37790515984707,231.9422879134338
50,"[3.3454176038656236, 0.3886819421948851, 0.36608323418040534]",[4.99990000e+00 2.66754761e-04 9.30753285e-01],[0.58100021 0.57862657 0.58137942 0.5770708 ],[0.40927783 0.14432607 0.3256334  0.1207627 ],[],[],153.80777336373635,313.6155467274727,324.17992948105945
51,"[2.032313657633646, 0.07390160890157536, 0.31145378008665753]",[4.99990000e+00 6.26347723e-04 1.00000000e-04],[0.38889054 0.37478394 0.38128568 0.37128549],[0.53402486 0.14329359 0.28136958 0.04131198],[],[],112.18670885695339,230.37341771390678,240.9378004674935
52,"[1.6576198838853964, 0.657570816118614, 0.6091669190051489]",[1.11492972 0.74789543 0.9999    ],[0.30212991 0.44306858 0.93381554 0.01993927],[7.71031024e-04 9.51059513e-01 4.81204517e-02 4.90041987e-05],[],[],127.9472073565836,261.8944147131672,272.45879746675394
53,"[0.14046794213634817, 0.8785056313076365, 0.16231606134951887]",[1.15588973e+00 2.05864292e-01 1.00000000e-04],[0.63597241 0.24936898 0.85047399 0.03598066],[4.19282235e-01 3.63555533e-02 5.44360408e-01 1.80317360e-06],[],[],145.07141001323018,296.14282002646036,306.7072027800471
54,"[1.8925792654233058, 0.8446398194757831, 0.761390902348643]",[2.14335733 0.03059352 0.45891692],[0.73113004 0.96963402 0.90924798 1.09035563],[0.61527911 0.00111504 0.3824908  0.00111504],[],[],74.2672587529636,154.5345175059272,165.09890025951393
55,"[1.6096786759330808, 0.9964156090802857, 0.3317218686190482]",[1.45981246e+00 2.76948895e-04 9.99900000e-01],[-0.08912611 -0.10437838 -0.09595577 -0.10625303],[0.54508668 0.11461223 0.31327412 0.02702697],[],[],138.7279330852222,283.4558661704444,294.02024892403114
56,"[3.84458171530092, 0.2931982117069218, 0.9547167598947481]",[1.23635521e+00 8.48991803e-02 1.00000000e-04],[0.77617528 0.45159368 0.70138442 0.22689447],[0.54823388 0.0044391  0.43408363 0.01324339],[],[],148.22611037815815,302.4522207563163,313.01660350990306
57,"[1.361285968597344, 0.006378726860971323, 0.48838655509146284]",[1.40739009 0.02437874 0.66481553],[-0.18325308  0.0457916   0.28899542 -0.29732548],[0.18784381 0.33451707 0.36509981 0.11253931],[],[],154.21210497213815,314.4242099442763,324.98859269786306
58,"[4.571259554149639, 0.06031309414653646, 0.2900432160668002]",[1.43780551 0.17957931 0.9999    ],[ 0.47593259  0.3138944   0.74390498 -0.03612092],[2.42135588e-12 6.22809909e-01 3.77190091e-01 4.34105187e-13],[],[],113.48006990619149,232.96013981238298,243.5245225659697
59,"[3.056922634680012, 0.858677748260972, 0.7370549170181012]",[1.9830473  0.10897977 0.03867625],[0.67081666 0.48900112 0.74042167 0.49479664],[3.87452453e-01 5.88933716e-04 6.07108114e-01 4.85049939e-03],[],[],86.26960241981642,178.53920483963284,189.10358759321957
60,"[1.4890288974397796, 0.19293079887418996, 0.43855930242259383]",[0.97278386 0.24798665 0.32925807],[0.69048727 0.17764398 0.79725649 0.3268109 ],[0.65973102 0.10388259 0.15827809 0.0781083 ],[],[],154.81823996142666,315.6364799228533,326.20086267644007
61,"[1.740793805144815, 0.0035597049204337257, 0.7878241667834471]",[1.92666352 0.0549658  0.95644666],[0.60433165 0.71480909 0.68352034 0.78205232],[7.74860500e-01 5.59986221e-04 2.23988778e-01 5.90735952e-04],[],[],68.4820489733787,142.9640979467574,153.52848070034412
62,"[2.0421902771020934, 0.33016201602492795, 0.8699458508916205]",[1.45083817 0.02388297 0.69316678],[0.60591929 0.36493701 0.69217144 0.47930603],[0.51535919 0.04934701 0.39256785 0.04272595],[],[],153.08955764738099,312.17911529476197,322.7434980483487
63,"[1.726565359862177, 0.14532970350606741, 0.820933734576909]",[7.42109926e-01 1.18924120e-01 4.87035468e-04],[0.79916228 0.32639149 0.82156686 0.19700602],[0.50211857 0.05680749 0.27605779 0.16501615],[],[],163.25095498125293,332.50190996250586,343.0662927160926
64,"[4.837035409670119, 0.8040819356483878, 0.16322970346689575]",[2.57833125 0.00441643 0.94838942],[0.69287652 0.66954907 0.70752471 0.67474561],[0.64370633 0.00900532 0.33828304 0.00900532],[],[],75.84062083846253,157.68124167692505,168.24562443051178
65,"[4.2811638679206085, 0.49524431875043273, 0.3141982890224448]",[2.38273611e-01 1.17224606e-01 1.00000000e-04],[0.54097844 0.40605974 0.65330253 0.41335372],[0.0816908  0.19419115 0.35650364 0.36761441],[],[],172.4413082487507,350.8826164975014,361.44699925108813
66,"[2.0259967209513374, 0.07473029841101107, 0.5699249284057104]",[1.65291321 0.09397083 0.9999    ],[ 0.68914253  0.18027489  0.71611739 -0.03162823],[0.51404055 0.00454894 0.4504295  0.03098101],[],[],103.1467709775763,212.2935419551526,222.85792470873932
67,"[2.569615559497028, 0.0943971061299283, 0.891144926923379]",[3.68188274e+00 3.05325709e-04 9.76350176e-01],[0.6377624  0.63492776 0.63953253 0.63562347],[0.48653127 0.16163309 0.29806101 0.05377463],[],[],141.52139798666525,289.0427959733305,299.60717872691725
68,"[4.117468675682019, 0.04627209750997805, 0.8748953989048623]",[4.35559846e+00 2.81514757e-04 9.13408943e-01],[-0.09678146 -0.11047815 -0.10966016 -0.11069562],[0.51485744 0.17086962 0.13585085 0.17842209],[],[],130.6154299831589,267.2308599663178,277.79524271990454
69,"[4.1155946215135195, 0.08839180649784857, 0.0901128901695448]",[1.28453475 0.15251631 0.9999    ],[0.74484155 0.34610867 0.61865363 0.05609637],[0.51984386 0.02518415 0.45258014 0.00239184],[],[],147.19698359786986,300.3939671957397,310.9583499493265
70,"[0.11398925525499307, 0.23713860971477818, 0.2471654665583338]",[3.63144873e+00 1.00000000e-04 9.09976202e-01],[-0.37200402 -0.37314913 -0.37272091 -0.37656863],[0.342315   0.31536111 0.26857758 0.07374631],[],[],164.15296284019232,334.30592568038463,344.8703084339714
71,"[1.9307819692222246, 0.05343530242374037, 0.29879870564534666]",[1.17355629 0.10720511 0.94003736],[0.74257841 0.12364374 0.8360751  0.22793909],[6.47937627e-01 2.03980827e-02 3.31510768e-01 1.53521871e-04],[],[],145.71619301093975,297.4323860218795,307.99676877546625
72,"[2.418125591848198, 0.7836202657299555, 0.2315794307383284]",[0.0001 0.0001 0.0001],[-0.39132747 -0.39274936 -0.39124228 -0.39296857],[0.23923502 0.2466577  0.27485843 0.23924885],[],[],172.59365142220022,351.18730284440045,361.7516855979872
73,"[0.3052897540566683, 0.6052420320620838, 0.9686978743550342]",[2.51664484 0.01157598 0.98766951],[0.83156135 0.79239164 0.91237454 0.92729412],[0.60553861 0.01624204 0.37033466 0.00788469],[],[],61.690972998141376,129.38194599628275,139.94632874986948
74,"[2.9872625578702983, 0.06983860559133442, 0.37883426164862216]",[2.92905764 0.0130236  0.71701382],[0.78023905 0.75426075 0.91024034 0.9058298 ],[0.63858899 0.01622757 0.27339701 0.07178642],[],[],133.51705945266258,273.03411890532516,283.5985016589119
75,"[3.8998923461064265, 0.38705870579795926, 0.5948433386954838]",[3.14373106e+00 1.76063679e-03 8.69034096e-01],[0.26510481 0.24573092 0.2518231  0.22518005],[0.38436483 0.29777305 0.22806503 0.08979709],[],[],152.09048297651108,310.18096595302217,320.7453487066089
76,"[1.007702505456257, 0.025387295757274192, 0.902761936799247]",[3.73820431 0.00675394 0.92074653],[1.05405899 1.15015189 1.18751216 1.27561593],[0.28046596 0.03387268 0.5095045  0.17615687],[],[],88.99808218713535,183.9961643742707,194.56054712785743
77,"[4.554080016375565, 0.03318625741902832, 0.38692188082200046]",[1.39160884 0.50430716 0.9999    ],[0.7044863  0.4339333  0.47453178 0.15670894],[7.24482261e-01 1.17377648e-17 2.75441017e-01 7.67223843e-05],[],[],114.30352309494378,234.60704618988757,245.1714289434743
78,"[3.0387718694058203, 0.40739022736390923, 0.7437540372543807]",[4.99990000e+00 4.85737532e-04 1.00000000e-04],[0.4413955  0.43361555 0.43769434 0.43087278],[0.56807952 0.15434808 0.21152484 0.06604756],[],[],137.10945796128553,280.21891592257106,290.7832986761578
79,"[3.570566389365447, 0.27767590661989566, 0.8277708931573333]",[4.04727634e+00 2.28732072e-04 9.31423186e-01],[0.63725232 0.63519651 0.63899583 0.63540647],[0.50003217 0.1290495  0.28999261 0.08092572],[],[],165.7092653960828,337.4185307921656,347.98291354575235
80,"[1.6480997505165085, 0.9044304861298597, 0.7755697087798844]",[2.79422251e-01 2.61596691e-01 1.00000000e-04],[0.58553464 0.46106735 0.5451033  0.21641093],[0.62851134 0.08576483 0.01149448 0.27422936],[],[],171.9912960927454,349.9825921854908,360.54697493907753
81,"[2.377188302957293, 0.032804946118121354, 0.7342194646689876]",[1.48095873 0.2195928  0.9999    ],[0.63943683 0.44285235 0.63849174 0.07837266],[1.74558483e-11 3.64682197e-01 6.35317803e-01 2.38336142e-16],[],[],111.46531349434338,228.93062698868675,239.49500974227348
82,"[0.5954199450158542, 0.38153203818628806, 0.600766134995698]",[1.62464981 0.16770817 0.28214611],[0.60364922 0.31953464 0.67344801 0.24880695],[0.33124793 0.05368183 0.61370817 0.00136207],[],[],109.0331190628588,224.0662381257176,234.63062087930433
83,"[1.3913146388967008, 0.7436020579817302, 0.4532852496476584]",[0.18891126 0.16911164 0.00019638],[0.82240179 0.23299658 0.74654964 0.09290287],[0.54331691 0.11413311 0.31284903 0.02970094],[],[],172.22052614028874,350.4410522805775,361.00543503416424
84,"[4.821388787341135, 0.7706223106213523, 0.18681830802781793]",[1.74188868 0.06827852 0.81707576],[0.63210576 0.33671488 0.68030859 0.27810366],[0.54054416 0.01276933 0.44506778 0.00161873],[],[],118.29687237037217,242.59374474074434,253.15812749433107
85,"[3.5870830754253276, 0.9871399482290477, 0.6141485309146222]",[2.88321887e+00 1.85198066e-02 1.00000000e-04],[0.61597708 0.28969861 0.5985409  0.32828064],[0.62836832 0.01501621 0.35298923 0.00362624],[],[],59.768401696854696,125.53680339370939,136.10118614729612
86,"[3.0726431420713425, 0.9411168202235347, 0.7491006834199804]",[3.19959227e+00 8.82351217e-04 9.60866006e-01],[1.39336962 1.43241752 1.39515575 1.43560921],[0.33894389 0.10809771 0.44486069 0.10809771],[],[],128.87650804109649,263.75301608219297,274.3173988357797
87,"[3.385976129573076, 0.8167474969324152, 0.32004143652738665]",[1.66183239 0.05389585 0.09252257],[0.61137877 0.35995096 0.75263119 0.31864387],[0.48010817 0.00085025 0.51810538 0.00093621],[],[],115.72097104069933,237.44194208139865,248.00632483498538
88,"[2.7906659547718915, 0.7403195727681338, 0.5004350860072063]",[1.89326227 0.14053878 0.81136236],[0.44485093 0.67174244 0.80068792 0.65313977],[6.15374862e-01 1.10073709e-07 3.84624797e-01 2.31283434e-07],[],[],74.31087492249293,154.62174984498586,165.18613259857258
89,"[0.40131509404784327, 0.2679753861472075, 0.5852845603390036]",[2.05835342e+00 3.44021082e-02 1.00000000e-04],[0.60875283 0.30385823 0.62965577 0.2217966 ],[0.58252701 0.04758221 0.36688904 0.00300174],[],[],100.53101286372649,207.06202572745298,217.6264084810397
90,"[0.7158477415206776, 0.01957289330274599, 0.043579434880517375]",[1.20773126 0.30977418 0.9999    ],[0.54968787 0.26016015 0.65793253 0.06770197],[5.37805690e-01 1.81760779e-15 4.59223246e-01 2.97106433e-03],[],[],142.2808151038017,290.5616302076034,301.12601296119016
91,"[3.3502096270153787, 0.48408148949541396, 0.45303181526022496]",[7.03959147e-01 1.79923247e-01 1.00000000e-04],[0.87676665 0.19330326 0.72708913 0.14133564],[8.74922485e-01 1.06794972e-01 1.77578860e-02 5.24657469e-04],[],[],162.74782537393511,331.49565074787023,342.060033501457
92,"[0.9070761625591954, 0.4050229762405293, 0.19514239534834701]",[0.78886891 0.25035336 0.01773774],[0.69663603 0.34552978 0.69861431 0.35019354],[8.81717118e-01 5.27736683e-04 1.17524098e-01 2.31047423e-04],[],[],161.03712792875217,328.07425585750434,338.6386386110911
93,"[3.67737193106841, 0.2997136749574928, 0.6371941308346137]",[1.55697627e+00 4.81609179e-02 1.00000000e-04],[0.62202963 0.29369182 0.71627643 0.0983275 ],[0.45321901 0.13386971 0.3960455  0.01686578],[],[],126.04684625221697,258.09369250443393,268.6580752580207
94,"[4.742549117166242, 0.3462503992105823, 0.6723722460174613]",[4.56790691e+00 1.92935989e-04 8.27032372e-01],[-0.35712603 -0.36186662 -0.3556413  -0.36206808],[0.32924539 0.16415086 0.32263711 0.18396664],[],[],157.34970642094336,320.6994128418867,331.2637955954735
95,"[0.86204548474492, 0.9329886360707287, 0.7234335212290124]",[3.71420556e+00 1.00000000e-04 9.82332683e-01],[0.91242838 0.90971886 0.91259443 0.91201581],[0.48422426 0.09621003 0.35508582 0.06447988],[],[],157.56476359837134,321.1295271967427,331.69390995032944
96,"[1.8010117011290776, 0.9371706544587213, 0.19475678690081294]",[7.67476598e-01 4.31390210e-02 1.00000000e-04],[0.60308815 0.34346633 0.67219681 0.23145353],[0.40261184 0.21722424 0.33947978 0.04068414],[],[],169.39508118656664,344.7901623731333,355.35454512672004
97,"[0.07158157385108123, 0.1916070522034977, 0.587174459579784]",[3.90664435e+00 1.00167327e-03 9.73039263e-01],[1.17799978 1.20485833 1.18311897 1.20091312],[0.44826323 0.03252505 0.48668667 0.03252505],[],[],109.55568126468472,225.11136252936944,235.67574528295617
98,"[3.0707874040688545, 0.3340217149057875, 0.6916505346560594]",[4.99990000e+00 1.38229327e-04 7.56033843e-01],[0.60244292 0.60039013 0.60278705 0.60059957],[0.41564642 0.19977008 0.24605316 0.13853033],[],[],168.1796143452603,342.3592286905206,352.92361144410734
99,"[0.6919948929013665, 0.9429814409818779, 0.5737194512987435]",[1.32593615e+00 2.86337032e-01 1.00000000e-04],[0.7071824  0.62826128 0.97332707 0.04541989],[5.09397622e-01 1.23242152e-01 3.67360226e-01 6.15139969e-15],[],[],130.5648672143626,267.1297344287252,277.69411718231197
