participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_nll,AIC,BIC
30,"[0.7681351940389674, 0.06470393626366128, 0.6713921435960498]",[1.45784545 0.26581567 0.9999    ],[1.04156985 0.18400532 0.66527892 0.53805338],[3.44803077e-01 5.15117649e-01 1.40079273e-01 4.74603955e-15],[0.5 0.5 0.5 0.5],92.93316537222495,191.8663307444499,201.761282844094
31,"[1.5613984448072464, 0.9916580045828084, 0.006863342343811032]",[3.01936433e+00 1.00000000e-04 9.87159461e-01],[0.5        0.49890397 0.50108466 0.5       ],[0.01506957 0.43948905 0.53037181 0.01506957],[0.5 0.5 0.5 0.5],47.40537675738856,100.81075351477712,110.70570561442122
32,"[1.5624808624567361, 0.584533578353571, 0.8140072188622979]",[2.03421170e+00 1.21158928e-02 1.00000000e-04],[0.62911311 0.48217869 0.54468283 0.46952932],[0.50014416 0.1607323  0.25445152 0.08467202],[0.5 0.5 0.5 0.5],125.55873822982053,257.11747645964107,267.0124285592852
33,"[0.5876728935784911, 0.2318141687486404, 0.9137705159003731]",[1.31395478 0.04789074 0.9999    ],[0.68986936 0.4075079  0.65249417 0.4506444 ],[0.18514134 0.38255737 0.43173073 0.00057056],[0.5 0.5 0.5 0.5],122.8220071252652,251.6440142505304,261.5389663501745
34,"[3.61399321494004, 0.00030106930129509846, 0.9113726557294235]",[4.99990000e+00 1.00000000e-04 9.92110531e-01],[0.50100017 0.49939438 0.50018637 0.49981683],[0.66203733 0.04225208 0.23935715 0.05635345],[0.5 0.5 0.5 0.5],95.86057354295761,197.72114708591522,207.61609918555934
35,"[1.2826887054445715, 0.9542650696487632, 0.2508951719743551]",[1.79931335e+00 1.00000000e-04 9.99900000e-01],[0.50073033 0.49912467 0.50107933 0.49999767],[0.26461632 0.32351726 0.38258212 0.02928429],[0.5 0.5 0.5 0.5],116.50349141179689,239.00698282359377,248.9019349232379
36,"[2.614128801539823, 0.8769500296925886, 0.9352416651412049]",[4.05835232e+00 2.01871140e-04 9.84113575e-01],[0.50076496 0.49916133 0.50070512 0.49907517],[0.25015151 0.42191578 0.23453942 0.09339329],[0.5 0.5 0.5 0.5],120.31088009765769,246.62176019531537,256.51671229495946
37,"[2.7761234204402827, 0.13734690303479893, 0.3648824932854822]",[3.73464324e+00 1.00000000e-04 9.83536167e-01],[0.50112411 0.49930019 0.50086773 0.49947445],[0.44737636 0.19735616 0.27630402 0.07896346],[0.5 0.5 0.5 0.5],122.51949134287297,251.03898268574594,260.93393478539
38,"[1.5392465629594154, 0.2444528639914726, 0.3703602544771124]",[4.98259403e+00 1.00000000e-04 1.00000000e-04],[0.50036447 0.49927618 0.50077023 0.49948053],[0.39999295 0.21671012 0.30010174 0.08319519],[0.5 0.5 0.5 0.5],137.90699492713478,281.81398985426955,291.70894195391367
39,"[3.6649653427100923, 0.7163546891249858, 0.6683669305800469]",[3.24614204e-02 9.99900000e-01 1.00000000e-04],[0.83482308 0.85656807 0.14945689 0.49344963],[9.9990001e-29 9.9990001e-01 9.9990001e-29 9.9990002e-05],[0.5 0.5 0.5 0.5],138.61130497865415,283.2226099573083,293.1175620569524
40,"[2.9368311152555906, 0.0041458015602095265, 0.19966278913548596]",[1.37122566e+00 2.09460059e-01 1.00000000e-04],[0.57680176 0.42014274 0.68698892 0.25165618],[0.5395887  0.15663877 0.01067126 0.29310127],[0.5 0.5 0.5 0.5],113.86938886098048,233.73877772196096,243.63372982160507
41,"[4.8507280403554365, 0.6684440236443426, 0.7324784121778651]",[1.20090983e+00 4.48470664e-02 1.00000000e-04],[0.56510268 0.30375731 0.71857514 0.35657553],[0.55631413 0.12185643 0.30499882 0.01683062],[0.5 0.5 0.5 0.5],130.99351482821038,267.98702965642076,277.8819817560649
42,"[4.78862493879044, 0.5789974019448157, 0.6389722693307774]",[1.23733693 0.34666873 0.9999    ],[0.98337899 0.26587249 0.4920535  0.06857969],[9.08098443e-01 7.19338926e-02 1.99575252e-02 1.01391602e-05],[0.5 0.5 0.5 0.5],96.57556910356003,199.15113820712006,209.04609030676417
43,"[3.7395339735075326, 0.4082494394790154, 0.31634215188274123]",[1.59068353e+00 1.00000000e-04 9.99900000e-01],[0.50137762 0.49991522 0.50100737 0.5       ],[0.64284501 0.01183555 0.33348389 0.01183555],[0.5 0.5 0.5 0.5],78.33436687291906,162.66873374583813,172.56368584548224
44,"[0.7147114200240114, 0.6779096913330848, 0.009570169870272673]",[5.47208247e-01 6.03971871e-01 1.00000000e-04],[0.54778996 0.31509652 0.90656979 0.31073358],[6.77725567e-02 1.87836809e-18 9.32227443e-01 5.53901184e-10],[0.5 0.5 0.5 0.5],133.2308110190738,272.4616220381476,282.3565741377917
45,"[3.6670787071775113, 0.5520116709702363, 0.29890192565190543]",[3.34365623e+00 6.58472406e-04 8.15539650e-01],[0.50484715 0.49453316 0.50423505 0.49786639],[0.42610999 0.18097965 0.30257364 0.09033671],[0.5 0.5 0.5 0.5],135.52881091426224,277.0576218285245,286.9525739281686
46,"[1.0264456059579103, 0.29918013065758553, 0.7765660139743038]",[7.23317451e-01 1.73704383e-01 1.00000000e-04],[0.6889403  0.24315465 0.59748527 0.27663593],[0.72036264 0.07631918 0.18981462 0.01350356],[0.5 0.5 0.5 0.5],135.093765877122,276.187531754244,286.0824838538881
47,"[4.664074265447539, 0.990360693280983, 0.10073991919596556]",[1.35944979 0.09654745 0.96425522],[0.52177378 0.24597688 0.72464139 0.41574111],[0.351262   0.28564658 0.32385228 0.03923915],[0.5 0.5 0.5 0.5],113.24719925322994,232.49439850645987,242.389350606104
48,"[0.70425740580023, 0.9222651789003464, 0.03181490749905889]",[2.10134082 0.06589817 0.4065693 ],[0.60112433 0.48114581 0.86013114 0.43217689],[2.39187082e-01 1.92302727e-01 5.68436578e-01 7.36122870e-05],[0.5 0.5 0.5 0.5],80.61648056708498,167.23296113416995,177.12791323381407
