participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
55,160.70393283720512,"[2.8500926257976884, 0.9172485857365237]",[1.5872448  0.63589373],9301.44723391313,325.40786567441023,332.4507875101347
56,173.28679513998665,"[1.065474143986596, 0.184720234124657]",[0. 1.],9474.734029053116,350.5735902799733,357.6165121156978
57,171.59852838503105,"[0.5191076848661591, 0.7600182741637388]",[0.54733082 0.45721939],9646.332557438147,347.1970567700621,354.2399786057866
58,171.9922493207447,"[0.9012282904257585, 0.7407962905304353]",[5.         0.99856209],9818.324806758892,347.9844986414894,355.02742047721387
59,146.59877329665673,"[0.7069593299503507, 0.5323013356340323]",[0.07972178 0.        ],9964.923580055549,297.19754659331346,304.24046842903795
60,173.28679513998665,"[3.9959761213448397, 0.8459218530687913]",[0. 1.],10138.210375195535,350.5735902799733,357.6165121156978
61,173.28679513998665,"[4.824390242769026, 0.9170698140159623]",[0. 1.],10311.49717033552,350.5735902799733,357.6165121156978
62,173.28679513998665,"[3.861934036809171, 0.6361834806209565]",[0. 1.],10484.783965475506,350.5735902799733,357.6165121156978
63,170.17992951041862,"[0.6336731271481966, 0.6970860607751728]",[5.         0.99663433],10654.963894985925,344.35985902083723,351.4027808565617
64,168.85405535312753,"[2.157204184081452, 0.8748136857320162]",[5.         0.99634176],10823.817950339053,341.70811070625507,348.75103254197955
65,173.28679513998665,"[0.2243088494231099, 0.16586249127478725]",[0. 1.],10997.104745479039,350.5735902799733,357.6165121156978
66,172.79666695060064,"[1.3385467197856444, 0.910958481867787]",[0.70486412 0.78715677],11169.90141242964,349.5933339012013,356.63625573692576
67,173.28679513998665,"[4.414426421516286, 0.8161956806663491]",[0. 1.],11343.188207569625,350.5735902799733,357.6165121156978
68,164.73041214733146,"[1.6064143967077604, 0.5902882339736437]",[0.80599392 0.30288276],11507.918619716957,333.4608242946629,340.5037461303874
69,170.01323473230354,"[1.3938845490695018, 0.8059121519638505]",[5.        0.9972902],11677.93185444926,344.0264694646071,351.0693913003316
70,173.28679513998665,"[0.04829056807090448, 0.7752559948673029]",[0. 1.],11851.218649589246,350.5735902799733,357.6165121156978
