Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
5,Baseline,1,A,0.55,-0.09999999999999998,0.09999999999999998,0.65,3.0,0.09999999999999998,0.44999999999999996,0.37714285714285717,1.0,0.5583333333333333
5,Baseline,2,A,0.6,-0.050000000000000044,0.050000000000000044,0.45,4.0,0.09999999999999998,0.44999999999999996,0.41450777202072536,1.0,0.5583333333333333
5,Baseline,3,A,0.32,-0.33,0.33,0.55,2.0,0.09999999999999998,0.44999999999999996,0.14611872146118718,1.0,0.5583333333333333
5,Baseline,4,A,0.4,-0.25,0.25,0.5,4.0,0.09999999999999998,0.44999999999999996,0.4266666666666667,1.0,0.5583333333333333
5,Baseline,5,A,0.4,-0.25,0.25,0.55,4.0,0.09999999999999998,0.44999999999999996,0.5734767025089605,1.0,0.5583333333333333
5,Baseline,6,A,0.6,-0.050000000000000044,0.050000000000000044,0.65,4.0,0.09999999999999998,0.44999999999999996,0.6000000000000001,1.0,0.5583333333333333
5,Baseline,7,A,0.25,-0.4,0.4,0.6625,4.0,0.09999999999999998,0.44999999999999996,0.23255813953488372,1.0,0.5583333333333333
5,Frequency,1,A,0.8,0.15000000000000002,0.15000000000000002,0.6,3.0,-0.39999999999999997,-0.597285067873303,,0.05,0.625
5,Frequency,2,A,0.4,-0.25,0.25,0.3,6.0,-0.39999999999999997,-0.597285067873303,0.5106382978723405,0.05,0.625
5,Frequency,3,A,0.2,-0.45,0.45,0.7,3.0,-0.39999999999999997,-0.597285067873303,0.16216216216216217,0.05,0.625
5,Frequency,4,A,0.4,-0.25,0.25,0.8,5.0,-0.39999999999999997,-0.597285067873303,,0.05,0.625
5,Frequency,5,A,0.84,0.18999999999999995,0.18999999999999995,0.65,6.0,-0.39999999999999997,-0.597285067873303,1.0349075975359343,0.05,0.625
5,Frequency,6,A,0.85,0.19999999999999996,0.19999999999999996,0.7,6.0,-0.39999999999999997,-0.597285067873303,0.9230769230769229,0.05,0.625
5,Frequency,7,A,0.85,0.19999999999999996,0.19999999999999996,0.7125,6.0,-0.39999999999999997,-0.597285067873303,1.0625,0.05,0.625
6,Baseline,1,A,0.86,0.20999999999999996,0.20999999999999996,0.65,1.0,,,0.5548387096774194,0.15,0.6083333333333334
6,Baseline,2,A,1.52,0.87,0.87,0.5,1.0,,,0.4727838258164852,0.15,0.6083333333333334
7,Baseline,1,A,0.86,0.20999999999999996,0.20999999999999996,0.6,1.0,,,0.5119047619047619,0.75,0.825
9,Baseline,1,A,-0.02,-0.67,0.67,0.55,1.0,0.5299999999999999,1.5158501440922192,-0.01619433198380567,1.0,0.5249999999999999
9,Baseline,2,A,0.5,-0.15000000000000002,0.15000000000000002,0.45,1.0,0.5299999999999999,1.5158501440922192,0.16666666666666666,1.0,0.5249999999999999
9,Baseline,3,A,0.8,0.15000000000000002,0.15000000000000002,0.6,1.0,0.5299999999999999,1.5158501440922192,0.4705882352941177,1.0,0.5249999999999999
9,Baseline,4,A,1.0,0.35,0.35,0.8,1.0,0.5299999999999999,1.5158501440922192,0.27027027027027023,1.0,0.5249999999999999
9,Baseline,5,A,0.8,0.15000000000000002,0.15000000000000002,0.55,1.0,0.5299999999999999,1.5158501440922192,0.7619047619047619,1.0,0.5249999999999999
9,Baseline,6,A,0.17,-0.48,0.48,0.2,1.0,0.5299999999999999,1.5158501440922192,0.09798270893371759,1.0,0.5249999999999999
9,Baseline,7,A,0.2,-0.45,0.45,0.7125,1.0,0.5299999999999999,1.5158501440922192,0.10810810810810813,1.0,0.5249999999999999
9,Frequency,1,A,0.7,0.04999999999999993,0.04999999999999993,0.75,1.0,0.6,0.5,0.3783783783783784,0.55,0.525
9,Frequency,2,A,0.6,-0.050000000000000044,0.050000000000000044,0.45,2.0,0.6,0.5,0.8275862068965517,0.55,0.525
9,Frequency,3,A,0.7,0.04999999999999993,0.04999999999999993,0.55,1.0,0.6,0.5,0.7368421052631579,0.55,0.525
9,Frequency,4,A,1.1,0.45000000000000007,0.45000000000000007,0.4,3.0,0.6,0.5,1.1186440677966103,0.55,0.525
9,Frequency,5,A,0.4,-0.25,0.25,0.45,1.0,0.6,0.5,0.42105263157894735,0.55,0.525
9,Frequency,6,A,0.6,-0.050000000000000044,0.050000000000000044,0.55,1.0,0.6,0.5,0.5,0.55,0.525
9,Frequency,7,A,0.8,0.15000000000000002,0.15000000000000002,0.5875,1.0,0.6,0.5,0.5714285714285714,0.55,0.525
10,Baseline,1,A,0.6,-0.050000000000000044,0.050000000000000044,0.85,6.0,0.0,-0.8,0.7717041800643086,0.9,0.725
10,Baseline,2,A,0.6,-0.050000000000000044,0.050000000000000044,0.9,5.0,0.0,-0.8,0.9375000000000001,0.9,0.725
10,Baseline,3,A,0.6,-0.050000000000000044,0.050000000000000044,1.0,5.0,0.0,-0.8,1.098901098901099,0.9,0.725
