participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
27,46.54752138266408,"[0.010178626076250974, 0.1309567688086326]",[0.40497259 0.0306528 ],3824.0296865668192,97.09504276532816,104.13796460105266
28,98.44373723091994,"[1.689820805173713, 0.4191195012874206]",[1.21201506 0.20485383],3922.473423797739,200.88747446183987,207.93039629756436
29,117.34756528856191,"[2.7682609922827677, 0.7847692868564721]",[0.41159075 0.06616636],4039.820989086301,238.69513057712382,245.7380524128483
30,170.38220573879948,"[0.06450984562859086, 0.44386970990706187]",[0.14855335 0.07428996],4210.203194825101,344.76441147759897,351.80733331332345
31,163.3002116150042,"[0.5298315365158862, 0.3387026265882921]",[0.07896312 0.00060504],4373.503406440105,330.6004232300084,337.6433450657329
32,110.63346488490707,"[0.32107786048596765, 0.33452212985360097]",[0.24076892 0.03370371],4484.136871325012,225.26692976981414,232.30985160553863
33,172.15198160855198,"[0.43215076076922876, 0.6116506292742798]",[0.45304637 0.55836613],4656.288852933564,348.30396321710396,355.34688505282844
34,113.1975001197931,"[3.3270143396111966, 0.8914067811810951]",[0.28124057 0.04599851],4769.486353053358,230.3950002395862,237.4379220753107
35,173.28679513998665,"[0.0898769102110969, 0.681451522676736]",[0. 1.],4942.773148193344,350.5735902799733,357.6165121156978
36,166.40073594462,"[4.384773504456964, 0.004277971498842792]",[0.08882626 0.02786721],5109.173884137965,336.80147188924,343.8443937249645
37,162.31594953189085,"[0.13655103605461794, 0.6258867370062674]",[0.45993355 0.13045408],5271.489833669855,328.6318990637817,335.6748208995062
38,169.44631362142098,"[0.21033092381766594, 0.16955237331433914]",[0.17462751 0.08109587],5440.936147291276,342.89262724284197,349.93554907856645
39,65.51698741504428,"[0.4435739148570206, 0.5593174325382161]",[0.1169383 0.       ],5506.45313470632,135.03397483008857,142.07689666581305
40,159.08107207853976,"[1.7228552931433256, 0.9910540663353928]",[1.52854617 0.62277503],5665.53420678486,322.1621441570795,329.205065992804
41,170.62545053870107,"[0.06742454682351351, 0.08809804910383123]",[0.04660412 0.01972428],5836.159657323561,345.25090107740215,352.29382291312663
42,109.67189776358576,"[0.031430701076391454, 0.17951915983403288]",[0.21268375 0.0458476 ],5945.831555087147,223.34379552717152,230.386717362896
43,151.7592400707595,"[2.1296363820293864, 0.9555004735460177]",[2.46347401 0.84757326],6097.5907951579065,307.518480141519,314.56140197724346
44,48.85958869597274,"[3.076964507131331, 0.3428942905735297]",[1.44744117 0.16243837],6146.450383853879,101.71917739194548,108.76209922766998
45,121.9078688828687,"[0.14462852893288636, 0.2798987451950531]",[0.27254198 0.02900007],6268.358252736748,247.8157377657374,254.85865960146188
46,120.03120664119588,"[1.9224304246309316, 0.9679328735934256]",[1.00933009 0.18410717],6388.389459377944,244.06241328239176,251.10533511811624
47,67.94624295939518,"[0.013159961783859031, 0.019216544049303952]",[1.2820075  0.15804789],6456.335702337339,139.89248591879036,146.93540775451484
48,131.7620040558816,"[0.7006106833266412, 0.14409335444425275]",[0.78680532 0.14909365],6588.0977063932205,267.5240081117632,274.56692994748767
49,170.1518379326333,"[2.7315859553481174, 0.9781089248703555]",[0.21165777 0.12526937],6758.249544325854,344.3036758652666,351.3465977009911
50,165.7198820283579,"[0.0660115559140867, 0.09893675050978956]",[0.07589615 0.01909591],6923.9694263542115,335.4397640567158,342.48268589244026
51,136.72211176528953,"[0.7565891649596718, 0.17289233964195616]",[0.225821   0.03150729],7060.691538119501,277.44422353057905,284.48714536630354
52,132.6780323624032,"[0.008586281150315678, 0.31686596764709185]",[0.2753175  0.00714027],7193.369570481905,269.3560647248064,276.3989865605309
53,137.82750936030845,"[0.6460804109498813, 0.4799184878115038]",[0.42716662 0.0854816 ],7331.1970798422135,279.6550187206169,286.6979405563414
54,165.59207597234536,"[0.005754454066976278, 0.6115294358229533]",[0.16995752 0.04373472],7496.789155814558,335.1841519446907,342.2270737804152
55,169.9427481155772,"[0.004811743441966443, 0.028360507909392263]",[0.05653908 0.00582537],7666.731903930136,343.8854962311544,350.92841806687886
