Subnum,AIC,BIC,model,Condition,t,alpha,scale,la,alpha_neg,weight
9,237.7147171684659,250.90798663465804,delta_asymmetric_decay_win,Baseline,0.664578467,0.239146448,,,0.427374486,0.0001
9,268.65028824256365,275.24692297565974,delta,Frequency,4.9999,0.000210709742,,,,
9,268.560703777022,281.75397324321415,delta_PVL,Frequency,4.95593619,0.0001,0.196071383,4.9999,,
9,266.8868212677828,276.7817733674269,delta_asymmetric,Frequency,3.83698442,0.0001,,,0.00136136088,
9,269.5434898600125,276.1401245931086,decay,Frequency,0.40691748,0.75283073,,,,
9,260.563182378962,273.7564518451541,decay_PVL,Frequency,0.611160061,0.627249949,0.0001,0.0001,,
9,262.9315110499876,269.5281457830837,decay_win,Frequency,0.64398233,0.96512757,,,,
9,268.61264713264785,281.80591659884,delta_asymmetric_decay_win,Frequency,2.85647122,0.0001,,,0.0134076921,0.9999
10,228.33446709787336,234.93110183096945,delta,Baseline,0.84535605,0.9999,,,,
10,213.76139693482065,226.9546664010128,delta_PVL,Baseline,0.79792108,0.61969557,0.68128286,4.9999,,
10,215.31402608042532,225.2089781800695,delta_asymmetric,Baseline,1.1646749,0.28503209,,,0.9999,
10,223.0301193537772,229.6267540868733,decay,Baseline,0.52712393,0.12585746,,,,
10,199.1793915609657,212.37266102715785,decay_PVL,Baseline,0.57811256,0.14936167,0.35452146,4.9999,,
10,215.3489636414428,221.94559837453883,decay_win,Baseline,0.65089765,0.12411952,,,,
10,186.80983587946108,200.0031053456532,delta_asymmetric_decay_win,Baseline,1.52871608,0.19924368,,,0.9999,0.92000767
10,226.17524254877696,232.77187728187303,delta,Frequency,1.20956663,0.08345557,,,,
10,214.6462115004556,227.83948096664776,delta_PVL,Frequency,4.9999,0.000428953839,0.0001,4.9999,,
10,208.66478143816968,218.5597335378138,delta_asymmetric,Frequency,1.08345926,0.9999,,,0.0318899,
10,243.4880634139373,250.08469814703335,decay,Frequency,0.19542861,0.06523033,,,,
10,239.0516030505629,252.24487251675504,decay_PVL,Frequency,0.151661976,0.0682500065,0.0001,4.9999,,
10,223.7715000553149,230.36813478841097,decay_win,Frequency,0.3625592,0.08078372,,,,
10,204.7938671740696,217.98713664026172,delta_asymmetric_decay_win,Frequency,4.9999,0.99249342,,,0.02209191,0.49605697
11,225.0344891117022,231.63112384479825,delta,Baseline,1.02540026,0.39295649,,,,
11,221.13126878383363,234.32453825002577,delta_PVL,Baseline,0.68727724,0.34462851,0.9999,4.9999,,
11,215.136997704342,225.0319498039861,delta_asymmetric,Baseline,1.20781142,0.00935554,,,0.95302042,
11,226.47965400981403,233.0762887429101,decay,Baseline,0.27994873,0.05422233,,,,
11,218.53101770046868,231.7242871666608,decay_PVL,Baseline,0.34566352,0.13341525,0.52415422,4.9999,,
11,227.8245983331613,234.42123306625737,decay_win,Baseline,0.21909787,0.03442183,,,,
11,217.9554795845009,231.14874905069303,delta_asymmetric_decay_win,Baseline,1.17542478,0.01017187,,,0.95323856,0.92821375
11,189.66886477981743,196.2654995129135,delta,Frequency,1.94510661,0.06837189,,,,
11,193.66857580286728,206.86184526905944,delta_PVL,Frequency,1.94684625,0.06825966,0.9999,0.98397172,,
11,188.87904454418444,198.77399664382853,delta_asymmetric,Frequency,4.9999,0.000656176839,,,0.00293448958,
11,237.7920068881007,244.3886416211968,decay,Frequency,0.14511373,0.03340217,,,,
11,238.74138819131167,251.9346576575038,decay_PVL,Frequency,0.14285512,0.03168836,0.9999,4.9999,,
11,230.4297063242992,237.02634105739523,decay_win,Frequency,0.16677084,0.01717962,,,,
11,201.9932074275229,215.18647689371505,delta_asymmetric_decay_win,Frequency,1.58343163,0.12274035,,,0.09469604,0.9999
12,279.8725793617326,286.4692140948287,delta,Baseline,0.0001,0.0001,,,,
12,282.8086655764506,296.00193504264274,delta_PVL,Baseline,0.0588240233,0.9999,0.0001,4.34315516,,
12,280.5617834244821,290.4567355241262,delta_asymmetric,Baseline,0.422436422,0.0001,,,0.9999,
12,279.8714287885361,286.46806352163225,decay,Baseline,0.00093617,0.01883267,,,,
12,281.5276613959286,294.7209308621207,decay_PVL,Baseline,0.01888877,0.0001,0.0001,0.0001,,
12,279.73919724435393,286.33583197745,decay_win,Baseline,0.01528135,0.03380923,,,,
12,278.42331212189987,291.616581588092,delta_asymmetric_decay_win,Baseline,0.105666182,0.0001,,,0.9999,0.647159212
12,251.35614877064657,257.95278350374264,delta,Frequency,4.9999,0.000222890348,,,,
12,251.12354829657212,264.3168177627643,delta_PVL,Frequency,2.24289391,0.00673301181,0.9999,0.0001,,
12,242.65754395078469,252.5524960504288,delta_asymmetric,Frequency,1.26186221,0.0601542343,,,0.0001,
12,245.53124894532627,252.12788367842236,decay,Frequency,0.04408309,0.0001,,,,
12,240.06926475415952,253.26253422035165,decay_PVL,Frequency,0.04509924,0.0001,0.0001,0.0001,,
12,244.7677684814222,251.36440321451823,decay_win,Frequency,0.12061381,0.01532212,,,,
12,229.02312476620244,242.21639423239455,delta_asymmetric_decay_win,Frequency,4.50950297,0.000497951142,,,0.0001,0.68708517
13,233.7771517021096,240.37378643520563,delta,Baseline,1.05332221,0.41097557,,,,
13,229.749980900879,242.94325036707116,delta_PVL,Baseline,1.40492323,0.447100552,0.306860864,0.0001,,
13,227.44873327405293,237.34368537369704,delta_asymmetric,Baseline,1.14863331,0.9999,,,0.04084178,
13,225.42900356227804,232.0256382953741,decay,Baseline,0.34749519,0.1006506,,,,
13,225.2540879461994,238.44735741239157,decay_PVL,Baseline,0.32958712,0.10255189,0.38186026,3.50807197,,
13,230.52809628118223,237.1247310142783,decay_win,Baseline,0.41946342,0.1055843,,,,
13,224.23556464458997,237.42883411078208,delta_asymmetric_decay_win,Baseline,0.98391389,0.18126634,,,0.48144259,0.653116
13,261.85962833732543,268.4562630704215,delta,Frequency,0.60201995,0.9999,,,,
13,264.58435840790065,277.7776278740928,delta_PVL,Frequency,0.661618663,0.9999,0.9999,0.0001,,
13,263.85251999570704,273.7474720953512,delta_asymmetric,Frequency,0.6041275,0.9999,,,0.97857941,
13,273.8029765851601,280.3996113182562,decay,Frequency,0.6583112,0.9999,,,,
