Subnum,Condition,EstA,EstB,EstC,EstD,A_Confidence,B_Confidence,C_Confidence,D_Confidence,Phase
7,Frequency,0.0,5.21,5.29,0.0,9.0,1.0,1.0,9.0,3
7,Frequency,0.0,6.49,4.39,0.0,9.0,1.0,1.0,9.0,4
7,Frequency,0.0,5.38,5.32,0.0,9.0,1.0,1.0,9.0,5
7,Frequency,0.0,4.32,7.32,0.0,9.0,1.0,1.0,9.0,6
7,Frequency,4.53,6.22,8.64,3.45,1.0,1.0,1.0,1.0,7
9,Baseline,-0.02,0.86,0.8,0.03,1.0,1.0,2.0,1.0,1
9,Baseline,0.5,0.8,1.5,0.2,1.0,1.0,3.0,1.0,2
9,Baseline,0.8,0.4,0.7,0.1,1.0,1.0,3.0,1.0,3
9,Baseline,1.0,0.8,1.3,0.4,1.0,1.0,4.0,1.0,4
9,Baseline,0.8,0.4,0.7,0.2,1.0,1.0,1.0,1.0,5
9,Baseline,0.17,0.15,0.7,0.2,1.0,2.0,4.0,1.0,6
9,Baseline,0.2,0.7,1.2,0.4,1.0,1.0,2.0,1.0,7
9,Frequency,0.7,0.2,1.2,0.4,1.0,1.0,2.0,1.0,1
9,Frequency,0.6,0.3,1.0,0.1,2.0,2.0,1.0,1.0,2
9,Frequency,0.7,0.1,0.7,0.4,1.0,1.0,1.0,1.0,3
9,Frequency,1.1,0.4,0.8,0.2,3.0,3.0,1.0,3.0,4
9,Frequency,0.4,0.2,0.8,0.5,1.0,1.0,1.0,1.0,5
9,Frequency,0.6,0.2,1.2,0.4,1.0,1.0,1.0,1.0,6
9,Frequency,0.8,0.4,1.0,0.6,1.0,1.0,1.0,1.0,7
10,Baseline,0.6,0.1,1.0,0.13,6.0,6.0,5.0,1.0,1
10,Baseline,0.6,0.2,0.7,0.1,5.0,2.0,4.0,2.0,2
10,Baseline,0.6,0.2,0.6,0.13,5.0,2.0,3.0,2.0,3
10,Baseline,0.2,0.7,0.7,-0.1,3.0,4.0,3.0,3.0,4
10,Baseline,0.6,0.2,0.4,-0.1,3.0,2.0,3.0,4.0,5
10,Baseline,0.6,-0.1,0.6,-0.1,4.0,2.0,2.0,4.0,6
10,Baseline,0.5,0.2,0.6,0.3,3.0,3.0,3.0,3.0,7
10,Frequency,0.9,-0.1,-0.1,0.6,3.0,2.0,2.0,2.0,1
10,Frequency,0.8,0.3,0.6,-0.1,2.0,2.0,2.0,2.0,2
10,Frequency,0.8,-1.0,0.6,-0.1,2.0,2.0,2.0,2.0,3
10,Frequency,0.8,0.3,0.33,0.6,2.0,2.0,2.0,2.0,4
10,Frequency,0.3,0.6,0.9,0.6,2.0,2.0,2.0,2.0,5
10,Frequency,0.6,0.3,0.3,0.6,2.0,2.0,1.0,1.0,6
10,Frequency,1.0,0.3,0.9,0.6,1.0,1.0,1.0,1.0,7
11,Baseline,0.9,0.3,0.6,0.5,8.0,2.0,6.0,5.0,1
11,Baseline,0.6,0.2,0.8,0.2,8.0,2.0,7.0,8.0,2
11,Baseline,0.8,0.2,0.9,0.1,8.0,8.0,9.0,7.0,3
11,Baseline,0.4,0.6,1.0,0.3,4.0,4.0,7.0,8.0,4
11,Baseline,0.98,-0.4,0.4,0.2,8.0,6.0,7.0,6.0,5
11,Baseline,0.7,0.3,0.9,0.2,7.0,6.0,10.0,8.0,6
11,Baseline,0.7,0.2,0.9,0.4,7.0,8.0,9.0,8.0,7
11,Frequency,0.6,0.4,0.3,0.6,7.0,6.0,4.0,4.0,1
11,Frequency,0.8,0.5,0.8,0.4,6.0,3.0,7.0,4.0,2
11,Frequency,0.6,0.1,0.7,0.5,6.0,8.0,6.0,5.0,3
11,Frequency,0.7,0.2,0.9,0.4,7.0,8.0,7.0,5.0,4
11,Frequency,0.8,0.2,0.9,0.4,8.0,7.0,9.0,5.0,5
