"SubjID","ChoiceSet","Condition","PropOptimal","RT"
27,"AD","Gains",1,1034.88
27,"BD","Gains",0,1415.92
28,"AB","LossesEF",0.78,1169.75
28,"CD","LossesEF",0.8,1342.42
28,"CA","LossesEF",0.12,1622.12
28,"CB","LossesEF",1,1484.84
28,"AD","LossesEF",0.96,1016.08
28,"BD","LossesEF",0.24,2141.04
29,"AB","LossesEF",0.85,922.17
29,"CD","LossesEF",0.74,1041.12
29,"CA","LossesEF",0.56,926.2
29,"CB","LossesEF",0.72,1158.04
29,"AD","LossesEF",1,996.04
29,"BD","LossesEF",1,1183.6
30,"AB","GainsEF",0.626666666666667,1381.96
30,"CD","GainsEF",0.506666666666667,1158.97333333333
30,"CA","GainsEF",0.76,1236.48
30,"CB","GainsEF",0.32,1350.36
30,"AD","GainsEF",0.32,1439.16
30,"BD","GainsEF",0.76,1294.2
31,"AB","Losses",0.66,1461.07
31,"CD","Losses",0.68,1553.4
31,"CA","Losses",0.44,1292.8
31,"CB","Losses",0.76,1381.28
31,"AD","Losses",0.64,1458.84
31,"BD","Losses",0.64,1448.52
32,"AB","Gains",0.8,862.29
32,"CD","Gains",0.94,1041.92
32,"CA","Gains",0.04,1212.68
32,"CB","Gains",0.84,1348.68
32,"AD","Gains",1,879.12
32,"BD","Gains",1,1322.36
33,"AB","Losses",0.36,1057.31
33,"CD","Losses",0.44,1203.28
33,"CA","Losses",0.36,930.96
33,"CB","Losses",0.28,858.56
33,"AD","Losses",0.4,905.16
33,"BD","Losses",0.44,773.56
34,"AB","LossesEF",0.79,1055.11
34,"CD","LossesEF",0.72,1406.42
34,"CA","LossesEF",0.04,1651.6
34,"CB","LossesEF",0.92,1743.48
34,"AD","LossesEF",1,1430.64
34,"BD","LossesEF",0.88,2371.48
35,"AB","GainsEF",0.4,1659.04
35,"CD","GainsEF",0.626666666666667,1501.58666666667
35,"CA","GainsEF",0.4,1015.48
35,"CB","GainsEF",0.52,979.24
35,"AD","GainsEF",0.44,759.28
35,"BD","GainsEF",0.56,892.88
36,"AB","Losses",0.65,1190.84
36,"CD","Losses",0.56,1563.68
36,"CA","Losses",0.4,893.84
36,"CB","Losses",0.56,1784.28
36,"AD","Losses",0.72,936.48
36,"BD","Losses",0.68,1183.52
37,"AB","GainsEF",0.613333333333333,1052.16
37,"CD","GainsEF",0.453333333333333,1060.4
37,"CA","GainsEF",0.04,1547.04
37,"CB","GainsEF",1,1242.12
37,"AD","GainsEF",0.08,1561.92
37,"BD","GainsEF",0,1178.28
38,"AB","GainsEF",0.506666666666667,1074.50666666667
38,"CD","GainsEF",0.626666666666667,1079.65333333333
38,"CA","GainsEF",0.76,1087.44
38,"CB","GainsEF",0.76,1064.52
38,"AD","GainsEF",0.12,963.84
38,"BD","GainsEF",0.16,1276.4
39,"AB","GainsEF",0.893333333333333,1083.77333333333
39,"CD","GainsEF",0.933333333333333,1098.10666666667
39,"CA","GainsEF",1,781.44
39,"CB","GainsEF",1,635.88
39,"AD","GainsEF",1,1081.16
39,"BD","GainsEF",1,1068
40,"AB","LossesEF",0.46,1486.25
40,"CD","LossesEF",0.62,1544.22
40,"CA","LossesEF",0.96,1088.36
40,"CB","LossesEF",0.96,1323.68
40,"AD","LossesEF",0,713.4
40,"BD","LossesEF",0.08,1035.96
41,"AB","GainsEF",0.706666666666667,1123.64
41,"CD","GainsEF",0.573333333333333,1329.84
41,"CA","GainsEF",0.52,1639.76
41,"CB","GainsEF",0.52,1497.16
41,"AD","GainsEF",0.44,1248.88
41,"BD","GainsEF",0.6,1568.12
42,"AB","Gains",1,733.31
42,"CD","Gains",0,1704.98
42,"CA","Gains",0.2,714.6
42,"CB","Gains",0.24,838
42,"AD","Gains",0.68,873.72
42,"BD","Gains",0.68,921.84
43,"AB","Gains",0.83,1545.44
43,"CD","Gains",0.28,1967
43,"CA","Gains",0.48,3860.76
43,"CB","Gains",0.48,1944.24
43,"AD","Gains",0.32,2629.44
43,"BD","Gains",0.2,2052.08
44,"AB","GainsEF",0.946666666666667,1031.74666666667
44,"CD","GainsEF",0.946666666666667,1257.77333333333
44,"CA","GainsEF",1,2658.44
44,"CB","GainsEF",1,1362.96
44,"AD","GainsEF",1,2533.04
44,"BD","GainsEF",0,2868.32
45,"AB","LossesEF",0.68,1053.57
45,"CD","LossesEF",0.6,1194.12
45,"CA","LossesEF",0.04,840.8
45,"CB","LossesEF",0.76,1416.2
45,"AD","LossesEF",1,836.96
45,"BD","LossesEF",1,984.76
46,"AB","Losses",0.6,925.85
46,"CD","Losses",0.68,1242.5
46,"CA","Losses",0.08,718.32
46,"CB","Losses",0.08,815.2
46,"AD","Losses",0.92,647.16
46,"BD","Losses",0.92,695.52
47,"AB","GainsEF",0.853333333333333,1190.96
47,"CD","GainsEF",0.92,1058.12
47,"CA","GainsEF",0.04,1813.84
47,"CB","GainsEF",1,1839.2
47,"AD","GainsEF",1,1224.72
47,"BD","GainsEF",0.64,2120.72
48,"AB","GainsEF",0.786666666666667,941.946666666667
48,"CD","GainsEF",0.493333333333333,970.053333333333
48,"CA","GainsEF",0,846.8
48,"CB","GainsEF",0.08,930.36
48,"AD","GainsEF",0.88,688.16
48,"BD","GainsEF",0.92,1073.64
49,"AB","LossesEF",0.52,2084.78
49,"CD","LossesEF",0.48,3012
49,"CA","LossesEF",0.32,2074.96
49,"CB","LossesEF",0.6,2249.72
49,"AD","LossesEF",0.64,2299.96
49,"BD","LossesEF",0.72,2019.8
50,"AB","GainsEF",0.64,1114.37333333333
50,"CD","GainsEF",0.666666666666667,1096.24
50,"CA","GainsEF",0.36,763.36
50,"CB","GainsEF",0.52,1009.28
50,"AD","GainsEF",0.72,994
50,"BD","GainsEF",0.68,1182.64
51,"AB","Gains",0.7,755.06
51,"CD","Gains",0.78,843.2
