Subnum,AIC,BIC,model,Condition,t,alpha,weight,scale,la,alpha_neg
15,272.6094549906294,289.10104182336954,delta_decay_PVL_win,Frequency,0.452052053,0.310397876,0.0001,0.819436743,0.0306936952,
15,263.4299049885935,276.6231744547856,delta_asymmetric_decay_win,Frequency,0.972707711,0.414266159,0.0001,,,0.0199146209
16,262.8025021340076,272.6974542336517,delta_decay,Baseline,0.66562994,0.27082282,0.26484018,,,
16,263.6039101271093,280.09549695984947,delta_decay_PVL,Baseline,0.458211631,0.276882158,0.0001,0.0001,0.2161133,
16,269.9924355516586,279.8873876513028,delta_decay_win,Baseline,0.436044393,0.313765144,0.0001,,,
16,263.3445644941765,279.8361513269167,delta_decay_PVL_win,Baseline,0.47885956,0.301193495,0.0001,0.0290122823,0.350691916,
16,266.9705373058955,280.16380677208764,delta_asymmetric_decay_win,Baseline,0.442810151,0.292316739,0.0001,,,0.997891739
16,235.2029901694835,245.09794226912763,delta_decay,Frequency,0.568221894,0.166252694,0.0001,,,
16,230.329402493554,246.82098932629415,delta_decay_PVL,Frequency,0.0678484,0.0013858,0.0001,0.0001,0.0001,
16,186.90563624294617,196.8005883425903,delta_decay_win,Frequency,1.15692402,0.27634157,0.02180597,,,
16,169.79320549413168,186.28479232687187,delta_decay_PVL_win,Frequency,1.28588302,0.269368346,0.0378863909,0.314774515,0.0001,
16,176.51559100150075,189.7088604676929,delta_asymmetric_decay_win,Frequency,1.2314012,0.27164599,0.02454876,,,0.57663371
17,260.6794060384886,270.5743581381327,delta_decay,Baseline,0.6933995,0.58313223,0.9999,,,
17,252.16308808366315,268.65467491640334,delta_decay_PVL,Baseline,0.46061651,0.14899023,0.9999,0.2046143,4.9999,
17,255.20374344212468,265.0986955417688,delta_decay_win,Baseline,3.65693863,0.000386600746,0.744125198,,,
17,248.74057776522,265.2321645979602,delta_decay_PVL_win,Baseline,3.61797933,0.000344077677,0.632797536,0.0001,4.9999,
17,239.50440963599,252.69767910218212,delta_asymmetric_decay_win,Baseline,3.26539655,0.0001,0.861229688,,,0.0231208654
17,271.10446841528807,280.9994205149322,delta_decay,Frequency,0.512439254,0.365264274,0.0001,,,
17,274.43848961905167,290.9300764517918,delta_decay_PVL,Frequency,0.502904446,0.358427007,0.0001,0.956663707,2.19580994,
17,267.72354905062923,277.61850115027335,delta_decay_win,Frequency,0.507815021,0.0001,0.709566274,,,
17,271.7143279966131,288.20591482935333,delta_decay_PVL_win,Frequency,0.509262526,0.0001,0.709713905,0.0001,0.0001,
17,269.1804776435448,282.37374710973694,delta_asymmetric_decay_win,Frequency,0.514227238,0.0001,0.659371784,,,0.979011169
18,279.37158847635914,289.26654057600325,delta_decay,Baseline,0.37872735,0.24701872,0.9999,,,
18,281.13714206062195,297.6287288933621,delta_decay_PVL,Baseline,0.201300924,0.143811734,0.9999,0.0001,4.9999,
18,278.02429286314754,287.91924496279165,delta_decay_win,Baseline,0.495957223,0.0001,0.84287544,,,
18,281.3753875789493,297.8669744116895,delta_decay_PVL_win,Baseline,0.187848866,0.142357987,0.9999,0.0001,4.9999,
18,279.94081316487404,293.1340826310662,delta_asymmetric_decay_win,Baseline,0.619808549,0.0001,0.862961202,,,0.0477066753
18,273.55316413185545,283.4481162314996,delta_decay,Frequency,0.03351344,0.0001,0.0001,,,
18,277.1708415594027,293.66242839214283,delta_decay_PVL,Frequency,0.0345161091,0.0001,0.000726948345,0.664893735,0.0001,
18,272.0498227725807,281.9447748722248,delta_decay_win,Frequency,4.08689424,0.000437135966,0.828188679,,,
18,276.67364118066484,293.165228013405,delta_decay_PVL_win,Frequency,0.67998853,0.662727939,0.0001,0.469702233,0.45852352,
18,271.68811603057435,284.8813854967665,delta_asymmetric_decay_win,Frequency,3.34502662,0.967729948,0.167329479,,,0.0001
19,280.70549678247914,290.60044888212326,delta_decay,Baseline,0.25501416,0.70141434,0.9999,,,
19,281.1215204262482,297.6131072589884,delta_decay_PVL,Baseline,0.201989038,0.31912463,0.874669109,0.0001,4.9999,
19,280.87650677971675,290.77145887936086,delta_decay_win,Baseline,0.22970372,0.73677047,0.9999,,,
19,281.5356269732083,298.02721380594846,delta_decay_PVL_win,Baseline,0.186629559,0.344754476,0.9999,0.0001,4.9999,
19,281.7793212691657,294.9725907353578,delta_asymmetric_decay_win,Baseline,0.41323856,0.13350578,0.9999,,,0.9999
19,281.8725797064827,291.76753180612684,delta_decay,Frequency,0.0001,0.0001,0.9999,,,
19,285.42490462192944,301.91649145466965,delta_decay_PVL,Frequency,0.0585505631,0.643767075,0.0001,0.0001,4.9999,
19,281.87164583552993,291.76659793517405,delta_decay_win,Frequency,0.00623657,0.9999,0.9999,,,
19,285.8692198368936,302.3608066696338,delta_decay_PVL_win,Frequency,0.0132570679,0.9999,0.9999,0.9999,0.0001,
19,283.87074599559145,297.0640154617836,delta_asymmetric_decay_win,Frequency,0.00912068,0.9999,0.9999,,,0.81567383
20,281.80368480387114,291.69863690351525,delta_decay,Baseline,0.00394975,0.0001,0.0001,,,
20,282.9461374375824,299.43772427032263,delta_decay_PVL,Baseline,0.02574827,0.0001,0.0001,0.0001,0.0001,
20,276.1472122149582,286.0421643146023,delta_decay_win,Baseline,0.35883514,0.0001,0.790773171,,,
20,280.1421402783439,296.6337271110841,delta_decay_PVL_win,Baseline,0.35916864,0.0001,0.790856484,0.0001,0.0001,
